Source File Name:	Analyzer
Signal:	FFT - Vib & Ref1 H1 Acceleration / Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s² / N ]	[ ° ]
0.5	0.05012405	-162.278
1	0.0354985	-173.2549
1.5	0.03456825	160.8007
2	0.02926468	176.4916
2.5	0.02252766	-173.7452
3	0.03251476	175.929
3.5	0.03149457	145.2991
4	0.02158875	166.2147
4.5	0.01767004	169.5023
5	0.0163532	169.1501
5.5	0.01093653	176.0229
6	0.04037622	-109.8172
6.5	0.02936071	163.248
7	0.02178318	164.0349
7.5	0.02186331	155.5737
8	0.01668462	160.4665
8.5	0.01471898	135.7686
9	0.01505614	127.3819
9.5	0.01110107	108.1135
10	0.005762803	92.58374
10.5	0.01066928	111.5018
11	0.008993244	62.64047
11.5	0.01603435	41.73873
12	0.01079874	37.07177
12.5	0.0159781	13.93033
13	0.0216593	18.64317
13.5	0.02463644	13.65228
14	0.02838805	5.292478
14.5	0.03252714	-4.879796
15	0.03953631	1.860674
15.5	0.04302647	-14.44777
16	0.04491267	-27.21777
16.5	0.03070347	-32.27428
17	0.01964005	28.51628
17.5	0.04559293	11.93873
18	0.05045785	9.663452
18.5	0.05836849	0.7424606
19	0.06116146	-1.296018
19.5	0.06865855	-0.7298265
20	0.07218505	-6.002997
20.5	0.0785078	-6.861009
21	0.08200351	-14.5483
21.5	0.07929226	-13.37919
22	0.07484862	-11.76482
22.5	0.07368062	-9.477536
23	0.08133923	-1.897708
23.5	0.0942528	-1.354366
24	0.09678283	-9.846946
24.5	0.07705588	-4.413908
25	0.09565001	7.449656
25.5	0.1086249	4.163638
26	0.1173326	2.618479
26.5	0.1233279	1.546497
27	0.1311448	1.732127
27.5	0.1370472	2.115619
28	0.1464601	2.491728
28.5	0.1536494	3.040209
29	0.161913	2.747146
29.5	0.1674353	1.844788
30	0.1771734	2.932249
30.5	0.1872013	3.305523
31	0.1976834	3.443139
31.5	0.2117675	2.144104
32	0.2235108	2.948239
32.5	0.2275271	2.378277
33	0.2429685	0.06295895
33.5	0.2486897	1.448125
34	0.2570576	1.138176
34.5	0.2714701	-0.0002583464
35	0.2792925	0.5641382
35.5	0.2907493	-0.2746836
36	0.303652	-0.07960206
36.5	0.3154712	-0.04997296
37	0.3316359	-0.8911048
37.5	0.3462363	-0.6163289
38	0.3569465	-1.536579
38.5	0.3691213	-2.372718
39	0.3825763	-2.314886
39.5	0.3991379	-2.8171
40	0.4109392	-2.92827
40.5	0.4262578	-3.835745
41	0.4410557	-4.263519
41.5	0.4532648	-4.724314
42	0.4655059	-4.872134
42.5	0.4798818	-5.161942
43	0.4941694	-5.264461
43.5	0.5086771	-5.69237
44	0.5234554	-5.253184
44.5	0.5410485	-5.011161
45	0.5601476	-4.652671
45.5	0.5825302	-4.426627
46	0.6056635	-4.418158
46.5	0.6323641	-4.493944
47	0.6637484	-5.191237
47.5	0.6906093	-5.634689
48	0.7150298	-5.823511
48.5	0.7454933	-6.507172
49	0.769065	-6.837938
49.5	0.8005587	-7.026542
50	0.8333175	-7.468574
50.5	0.866535	-7.899339
51	0.9020058	-8.549164
51.5	0.9423583	-9.213036
52	0.977083	-9.91752
52.5	1.016248	-10.83288
53	1.061339	-11.46139
53.5	1.098772	-12.68973
54	1.140208	-13.36117
54.5	1.190496	-14.46877
55	1.233579	-15.61418
55.5	1.285324	-16.82277
56	1.327787	-17.87528
56.5	1.383353	-18.9169
57	1.435706	-20.25635
57.5	1.494242	-21.74464
58	1.552579	-23.38849
58.5	1.613556	-25.65094
59	1.656092	-28.08981
59.5	1.673752	-30.56405
60	1.673262	-31.79034
60.5	1.693964	-32.08369
61	1.751596	-32.06362
61.5	1.823218	-32.77639
62	1.9079	-33.96363
62.5	2.000536	-36.07581
63	2.079785	-38.58327
63.5	2.134443	-41.29648
64	2.181688	-44.07307
64.5	2.21718	-46.76797
65	2.229925	-49.36121
65.5	2.226697	-51.71946
66	2.24369	-53.29468
66.5	2.260502	-55.16859
67	2.274827	-57.31049
67.5	2.267529	-59.45552
68	2.247587	-61.13144
68.5	2.232964	-62.31136
69	2.22984	-63.36093
69.5	2.239321	-64.81881
70	2.217601	-66.52977
70.5	2.172374	-67.77182
71	2.121045	-67.86363
71.5	2.093719	-67.33823
