Source File Name:	Analyzer
Signal:	FFT - Ref1 PSD Force² / Frequency - Magnitude [dB]
dB-Reference:	0 dB = 1 N² / Hz
Frequency	Magnitude
[ Hz ]	[ dB ]
0.5	-58.71055
1	-54.76062
1.5	-64.80378
2	-62.72638
2.5	-65.64752
3	-63.03984
3.5	-60.28362
4	-66.93284
4.5	-69.98999
5	-66.59393
5.5	-69.60744
6	-67.56012
6.5	-64.22543
7	-63.7412
7.5	-67.94177
8	-68.07372
8.5	-71.66695
9	-67.5683
9.5	-67.0304
10	-67.82114
10.5	-69.03426
11	-73.91839
11.5	-79.98052
12	-70.73019
12.5	-69.60629
13	-70.20532
13.5	-72.95863
14	-70.62263
14.5	-71.08508
15	-66.34785
15.5	-74.13296
16	-71.20532
16.5	-70.04364
17	-70.03262
17.5	-73.22772
18	-69.85487
18.5	-70.11424
19	-73.24191
19.5	-69.64042
20	-76.49632
20.5	-76.70361
21	-72.55973
21.5	-71.64521
22	-76.07606
22.5	-72.62827
23	-75.09592
23.5	-74.75093
24	-74.04579
24.5	-80.681
25	-71.15524
25.5	-68.20212
26	-79.65257
26.5	-68.4554
27	-73.42325
27.5	-73.92923
28	-77.41146
28.5	-70.75073
29	-77.78806
29.5	-57.38098
30	-77.7481
30.5	-76.91978
31	-71.6348
31.5	-74.82796
32	-70.49414
32.5	-70.24079
33	-73.97551
33.5	-72.773
34	-72.80479
34.5	-79.64768
35	-76.78336
35.5	-77.41472
36	-75.90696
36.5	-81.1562
37	-77.45438
37.5	-76.03567
38	-76.35619
38.5	-74.67675
39	-77.21605
39.5	-75.95298
40	-75.22034
40.5	-78.40172
41	-77.75655
41.5	-72.04314
42	-73.92808
42.5	-73.1555
43	-75.64355
43.5	-75.34827
44	-78.78921
44.5	-75.54787
45	-78.65016
45.5	-74.82941
46	-71.92519
46.5	-77.25328
47	-79.06136
47.5	-83.21147
48	-76.12183
48.5	-75.61186
49	-79.72948
49.5	-75.57011
50	-79.5259
50.5	-79.14462
51	-76.89843
51.5	-74.71133
52	-77.14925
52.5	-79.80529
53	-76.7052
53.5	-74.46615
54	-76.41115
54.5	-83.51853
55	-73.03129
55.5	-76.17612
56	-72.1873
56.5	-75.88675
57	-78.4633
57.5	-77.05906
58	-74.54044
58.5	-70.64238
59	-54.93396
59.5	-78.52721
60	-74.38697
60.5	-76.98973
61	-75.60911
61.5	-76.88565
62	-75.31953
62.5	-75.40221
63	-73.17709
63.5	-72.16674
64	-77.59026
64.5	-78.50143
65	-76.76097
65.5	-78.69709
66	-75.92948
66.5	-81.59415
67	-79.3812
67.5	-77.20551
68	-76.88763
68.5	-80.25601
69	-76.45675
69.5	-77.11861
70	-76.07172
70.5	-83.00964
71	-79.82863
71.5	-81.58395
72	-73.0764
72.5	-78.7975
73	-82.40706
73.5	-74.45123
74	-75.46657
74.5	-75.74557
75	-77.49541
75.5	-75.74794
76	-78.37119
76.5	-73.88475
77	-77.87125
77.5	-76.97142
78	-79.20335
78.5	-80.74062
79	-79.29867
79.5	-82.44472
80	-78.27364
80.5	-80.89232
81	-75.57845
81.5	-77.98683
82	-78.21135
82.5	-77.12128
83	-79.44148
83.5	-83.77574
84	-80.42387
84.5	-77.31573
85	-80.60416
85.5	-80.32834
86	-76.18785
86.5	-79.73586
87	-76.75928
87.5	-84.7282
88	-75.61286
88.5	-72.45573
89	-76.6223
89.5	-75.1008
90	-75.87807
90.5	-78.26684
91	-81.07627
91.5	-75.55933
92	-76.30238
92.5	-82.57587
93	-82.04559
93.5	-71.63564
94	-82.91157
94.5	-78.55746
95	-86.32634
95.5	-77.56408
96	-83.91654
96.5	-75.32541
97	-75.46916
97.5	-83.00803
98	-78.12718
98.5	-79.56071
99	-79.00529
99.5	-78.49805
100	-79.01378
100.5	-78.83684
101	-76.48105
101.5	-78.70375
102	-75.48647
102.5	-79.16042
103	-79.79908
103.5	-76.57588
104	-83.9087
104.5	-78.29547
105	-76.16844
105.5	-75.72021
106	-77.8971
106.5	-80.40425
107	-80.78845
107.5	-79.46777
108	-79.27555
108.5	-79.46607
109	-78.86301
109.5	-76.65313
110	-77.82993
110.5	-78.13952
111	-79.16078
111.5	-78.01625
112	-82.35971
112.5	-78.84721
113	-80.14417
113.5	-78.6426
114	-77.14539
114.5	-81.32885
115	-82.22025
115.5	-83.94904
116	-75.33916
116.5	-76.79481
117	-79.78506
117.5	-78.91477
118	-71.12342
118.5	-80.63322
119	-74.38609
119.5	-79.92223
120	-71.61475
120.5	-79.00371
121	-76.68932
121.5	-79.24594
122	-74.5536
122.5	-83.05998
123	-79.8273
123.5	-78.62312
124	-77.71674
124.5	-81.55049
125	-82.40503
125.5	-80.13122
126	-83.05289
126.5	-83.1067
127	-75.14588
127.5	-80.01346
128	-79.13705
128.5	-78.96558
129	-79.88489
129.5	-76.02406
130	-78.32883
130.5	-80.9599
131	-85.32055
131.5	-80.46269
132	-79.27811
132.5	-80.79765
133	-80.66827
133.5	-82.12769
134	-80.97569
134.5	-78.10698
